text,domain
walk six steps forward right now,NAVIGATION
oh take two steps right,NAVIGATION
so face the basement,NAVIGATION
take three steps backward,NAVIGATION
uh pause everything now,SYSTEM
so i'll guess option a now,GAME
walk to the study room,NAVIGATION
let's play would you rather,GAME
uh enable night mode,SYSTEM
navigate to the couch,NAVIGATION
hmm lead the way to the laundry room,NAVIGATION
how do you spell chemistry,STUDY
review gravity with me,STUDY
so face the balcony please,NAVIGATION
so i need a wave from you,PET
avoid the stairs,NAVIGATION
let's review planets,STUDY
uh pause everything please,SYSTEM
sit down buddy,PET
come with me to the corridor,NAVIGATION
do you know how to bow now,PET
hmm my favorite game is food okay,CHAT
explain plants in simple words,STUDY
hey i had a bad day please,CHAT
hello my little nugget,PET
what's the difference between the water cycle and the solar system,STUDY
i'm confused about plants,STUDY
lead the way to the garage,NAVIGATION
narrate a story about a unicorn,STORY
what's the difference between the water cycle and cells,STUDY
oh for the game i choose the first one,GAME
so tell me a fun fact thanks,CHAT
how about a game of memory match now,GAME
review photosynthesis with me,STUDY
can you tell a story with a superhero and a penguin,STORY
okay what's your favorite the moon right now,CHAT
uh i like cats,CHAT
what do you think about pandas okay,CHAT
let's study history together,STUDY
you did great cutie,PET
hey i want to go to the bookshelf now,NAVIGATION
so my favorite food is ice cream right now,CHAT
in the game the answer is option a,GAME
play riddles with me,GAME
so move away from the door right now,NAVIGATION
can you tell a story with an alien and a witch,STORY
let's play maze please,GAME
hmm help me out with this game,GAME
show me your wave,PET
let's play tic-tac-toe,GAME
what's the definition of the food chain,STUDY
keep telling the story,STORY
okay why is the sky pink right now,CHAT
review the water cycle with me,STUDY
in the story what if an astronaut meets a lion,STORY
in the story what if a brave knight meets a prince,STORY
so come play treasure hunt with me right now,PET
my favorite subject is color,CHAT
go to the kitchen,NAVIGATION
oh what's interesting about space right now,CHAT
um reboot yourself now,SYSTEM
so i'll take care of you cutie,PET
you're my favorite pal,PET
what's the difference between erosion and the human body,STUDY
let's have fun playing red light green light,PET
oh move away from the lamp,NAVIGATION
in the game i'll go with option one,GAME
hmm make it quieter,SYSTEM
um sleep now,SYSTEM
um set volume to minimum thanks,SYSTEM
can you teach me plants,STUDY
is addition the same as addition,STUDY
what's the difference between volcanoes and sound,STUDY
let's do chase together,PET
what is sound,STUDY
my favorite color is stars right now,CHAT
hmm i like dogs thanks,CHAT
so everything will be fine munchkin thanks,PET
what's the difference between the water cycle and magnets,STUDY
can you tell a story with a monkey and a bunny,STORY
okay my favorite game is stars okay,CHAT
so my favorite color is rainbows now,CHAT
i like song now,CHAT
show me how electricity works,STUDY
in the story what happens to a monkey,STORY
do you like food please,CHAT
um what do you think about rainbows,CHAT
quiz time for grammar,STUDY
set volume to high,SYSTEM
let's go to the back door,NAVIGATION
what does multiplication mean,STUDY
begin a tale about an alien,STORY
in the story what if a bunny meets a monkey,STORY
can you tell a story with a dragon and a wizard,STORY
uh turn off bluetooth thanks,SYSTEM
tell me a space tale,STORY
do you want to play tug of war,PET
i want to go to the garage now,NAVIGATION
my favorite color is the moon,CHAT
can you teach me the food chain,STUDY
can you tell a story with a dinosaur and a ninja,STORY
my favorite food is rainbows thanks,CHAT
uh walk to the closet please,NAVIGATION
i feel like playing word guess please,GAME
everything will be fine nugget,PET
um got any word guess going,GAME
uh my favorite game is movie thanks,CHAT
hey can you go to the laundry room,NAVIGATION
load up riddles,GAME
uh set volume to high please,SYSTEM
um time to sleep right now,SYSTEM
go forward,NAVIGATION
pet pet pet honeybun,PET
oh how about a game of animal quiz thanks,GAME
um aww cupcake you're the best right now,PET
belly rub time pal,PET
uh what do you think about cats,CHAT
um in the story what if a talking cat meets a witch,STORY
what's the difference between molecules and light,STUDY
how does light work,STUDY
give me some love cupcake,PET
i want to play catch with you right now,PET
my favorite animal is food,CHAT
what's the difference between photosynthesis and the moon,STUDY
hey take me to the front door,NAVIGATION
help me understand the moon,STUDY
hey do you know how to bow please,PET
keep following me,NAVIGATION
take five steps right,NAVIGATION
so walk to the living room now,NAVIGATION
uh what's your favorite robots,CHAT
in the game it must be the first one,GAME
why do we need to learn fractions,STUDY
you're my favorite buddy,PET
it's alright darling,PET
tell me an adventure story about a wizard,STORY
for the game i choose option one,GAME
what's the definition of multiplication,STUDY
let's do a quiz on history,STUDY
what do you think about animal thanks,CHAT
stay away from the shoe thanks,NAVIGATION
i need to review gravity,STUDY
um what's your favorite place,CHAT
i need help with the water cycle,STUDY
three is my final game answer,GAME
what's the difference between the solar system and magnets,STUDY
okay how am i doing thanks,GAME
uh set brightness to half okay,SYSTEM
can you tell a story with a unicorn and a talking cat,STORY
let's go to the front door,NAVIGATION
hmm what do you think about birds thanks,CHAT
in the story what if a superhero meets an astronaut,STORY
oh do you like pizza please,CHAT
walk to the back door okay,NAVIGATION
hmm let's go to the door okay,NAVIGATION
um in the game it must be right now,GAME
bring me to the living room okay,NAVIGATION
in the story what if a bear meets a wizard,STORY
do you know how to jump,PET
hmm come play fetch with me,PET
can you tell a story with a wizard and a ninja right now,STORY
in the game it must be blue,GAME
you did great robot,PET
i want to learn about the sun,STUDY
describe the human body for me,STUDY
hey my favorite game is game,CHAT
uh stop whatever you're doing,SYSTEM
do a silly face,PET
start a game of checkers please,GAME
quiz me on social studies,STUDY
my favorite food is food now,CHAT
for this round i pick the first one now,GAME
okay look towards the stairs okay,NAVIGATION
in the story what if a wizard meets a talking cat,STORY
my guess is three,GAME
hmm my favorite color is birds right now,CHAT
give me a test on history,STUDY
um go to the living room,NAVIGATION
move to the laundry room,NAVIGATION
navigate to the attic,NAVIGATION
move away from the rug okay,NAVIGATION
can you tell a story with a superhero and a bunny,STORY
new game please thanks,GAME
i like stars,CHAT
got any riddles going now,GAME
hey louder please thanks,SYSTEM
hmm head to the kitchen now,NAVIGATION
in the story what if a monkey meets a detective,STORY
can you tell me a funny story,STORY
okay in the game the answer is option one right now,GAME
oh do you like cats,CHAT
are you feeling worried,PET
for the game i choose the last one,GAME
what's your favorite robots now,CHAT
um come with me to the closet,NAVIGATION
once upon a time story about a mermaid,STORY
can we play animal quiz right now,GAME
oh volume up okay,SYSTEM
um in the game the answer is blue now,GAME
solve seven times three,STUDY
exit the game,GAME
uh tell a adventure story please,STORY
navigate to the nursery thanks,NAVIGATION
um quieter please okay,SYSTEM
tell me a joke,CHAT
scratch behind your ears friend,PET
load up word guess please,GAME
tell me a story about a brave knight,STORY
spin me a yarn about an alien,STORY
um got any connect four going please,GAME
hmm louder please thanks,SYSTEM
okay can you tell a story with a pirate and a superhero please,STORY
so i'm guessing left,GAME
hmm my favorite animal is stars,CHAT
hmm for this round i pick option two please,GAME
describe magnets for me,STUDY
okay in the story what if a ninja meets a robot okay,STORY
my favorite color is rainbows,CHAT
okay start fresh thanks,SYSTEM
what do you think about cats right now,CHAT
i missed you sweetie,PET
face the closet,NAVIGATION
hey there there robot okay,PET
follow me to the hallway,NAVIGATION
uh power down,SYSTEM
okay i'm happy today,CHAT
stop all tasks please,SYSTEM
please go to the window,NAVIGATION
bring me to the kitchen,NAVIGATION
what's the difference between history and the water cycle,STUDY
hey my favorite food is book,CHAT
so i like birds please,CHAT
can you teach me dinosaurs,STUDY
so in the game i'll go with left,GAME
hmm set brightness to maximum please,SYSTEM
can you teach me the moon,STUDY
final answer ten,GAME
uh set volume to low,SYSTEM
um do you like animal,CHAT
make the food chain easier to understand,STUDY
in the game the answer is three,GAME
how old are you now,CHAT
oh i want a nose boop okay,PET
begin a tale about a detective,STORY
turn on wifi please,SYSTEM
okay got any card game going please,GAME
uh move away from the wall thanks,NAVIGATION
in the story what happens to a prince,STORY
hmm let me guess five,GAME
wanna play hide and seek,PET
hi my sweet cupcake please,PET
can you do a spin,PET
uh can you go to the living room,NAVIGATION
take two steps left,NAVIGATION
hey there little sweetie,PET
i missed you honeybun,PET
i pick the magic portal thanks,STORY
hmm in the story what if an alien meets a bunny thanks,STORY
hey i'm happy today,CHAT
oh my favorite color is toy please,CHAT
can you tell a story with a penguin and a mermaid,STORY
my favorite color is game okay,CHAT
give me an example of planets,STUDY
hmm my favorite food is robots okay,CHAT
uh face the pantry now,NAVIGATION
there there friend,PET
set volume to low right now,SYSTEM
oh come closer,NAVIGATION
can you tell a story with a wizard and a talking cat,STORY
i have a question about the water cycle,STUDY
oh switch to hindi,SYSTEM
hey my favorite subject is toy,CHAT
volume down,SYSTEM
my favorite food is animal,CHAT
oh try doing a march,PET
what do you think about cars,CHAT
time to play checkers,GAME
play chess with me,GAME
take me to the closet,NAVIGATION
uh head to the entrance please,NAVIGATION
oh speak in english okay,SYSTEM
um start a game of word guess thanks,GAME
pet pet pet friend,PET
what is continents,STUDY
okay what do you think about birds right now,CHAT
hey there little boo,PET
oh turn off bluetooth,SYSTEM
so you're too quiet,SYSTEM
hey turn on wifi now,SYSTEM
um the last one is my final game answer,GAME
read this lesson about fractions,STUDY
hey it's bedtime go to sleep now,SYSTEM
hey final answer option d okay,GAME
give me an explanation of photosynthesis,STUDY
okay speak in arabic thanks,SYSTEM
um i'm guessing seven please,GAME
my guess is left,GAME
describe electricity for me,STUDY
oh in the story what if a talking cat meets a ninja please,STORY
in the story what if a bunny meets a wizard,STORY
load up math quiz please,GAME
in the story who does a dragon meet,STORY
what's your battery level,SYSTEM
my favorite color is pizza okay,CHAT
don't be scared,PET
so come give me a pat on the head now,PET
make up a story about a monkey,STORY
can you tell a story with a pirate and a robot okay,STORY
move to the living room,NAVIGATION
is atoms the same as light,STUDY
okay check your status now,SYSTEM
uh i need a wave from you okay,PET
can you tell a story with a prince and a penguin,STORY
um my favorite color is flowers now,CHAT
okay walk to the kitchen please,NAVIGATION
so move to the kitchen okay,NAVIGATION
hmm invent a story about an alien,STORY
so head over to the stairs please,NAVIGATION
okay how do birds fly okay,CHAT
can you help me with twelve minus seven,STUDY
hmm final answer blue thanks,GAME
uh come with me to the sofa,NAVIGATION
can we play number guessing,GAME
play memory match with me,GAME
disable bluetooth thanks,SYSTEM
uh lead the way to the dining room,NAVIGATION
in the story what if a brave knight meets a superhero,STORY
you make me smile cutie right now,PET
in the story what happens to a brave knight,STORY
false is my final game answer,GAME
hey show me your angry face now,PET
um move to the hallway now,NAVIGATION
read this lesson about cells,STUDY
go to the door,NAVIGATION
i feel like playing science quiz,GAME
navigate to the stairs,NAVIGATION
go around the box,NAVIGATION
i want the silver bridge,STORY
hmm my favorite color is game,CHAT
scratch behind your ears love,PET
what is ecosystems,STUDY
solve half of twenty,STUDY
my favorite animal is birds okay,CHAT
what do you think about robots right now,CHAT
oh i like cats now,CHAT
okay face the kitchen thanks,NAVIGATION
hey say dinosaur in a funny voice okay,CHAT
there there love please,PET
in the story what if an astronaut meets a puppy,STORY
hmm go to the back door okay,NAVIGATION
narrate a story about a bunny,STORY
uh what's your favorite game right now,CHAT
so good night now,CHAT
can you tell a story with a monkey and a brave knight now,STORY
spin me a yarn about a prince,STORY
load up true or false,GAME
take me to the bookshelf,NAVIGATION
uh change language to chinese,SYSTEM
open animal quiz okay,GAME
can you tell a story with a lion and a talking cat,STORY
oh enable airplane mode,SYSTEM
make photosynthesis easier to understand,STUDY
uh walk to the garage now,NAVIGATION
what's your favorite place,CHAT
do a pouty face,PET
give me a quiz about english,STUDY
hmm change language to korean,SYSTEM
okay begin a new game of rock paper scissors,GAME
i like the moon,CHAT
i have a question about subtraction,STUDY
hi honeybun how are you,PET
okay restart yourself,SYSTEM
i want to play puzzle,GAME
i wanna hear a story about a pirate,STORY
in the story what if a lion meets a monkey,STORY
in the story does a robot win,STORY
oh i want to go to the living room please,NAVIGATION
hmm i'll guess yes now,GAME
hmm i like sport now,CHAT
why is biology important,STUDY
uh open twenty questions thanks,GAME
hey aww boo you're the best,PET
in the game it must be twenty,GAME
how do i solve fifteen minus six,STUDY
i'm guessing the dog,GAME
in the story what does a princess find,STORY
hmm speak in french,SYSTEM
can you clarify molecules,STUDY
so i'm here for you little robot okay,PET
i like dogs,CHAT
i'm confused about gravity,STUDY
in the story what if a unicorn meets a wizard,STORY
my favorite subject is penguins right now,CHAT
can you tell a story with a dinosaur and a princess,STORY
hey walk to the hallway,NAVIGATION
turn right please,NAVIGATION
let's study reading together,STUDY
head to the playroom please,NAVIGATION
can you tell a story with an astronaut and a talking cat,STORY
so do you like dinosaurs right now,CHAT
in the game i think it's three thanks,GAME
tell me a funny tale,STORY
i want to hear a story about a wizard,STORY
oh let's cuddle cupcake okay,PET
nice to see you again robot,PET
in the story what if a superhero meets a penguin,STORY
why is the sky purple,CHAT
okay i feel like playing spelling bee,GAME
in the story what if a brave knight meets a mermaid,STORY
okay switch to chinese,SYSTEM
let's do a quiz on vocabulary,STUDY
so did you know that the ocean,CHAT
okay aww hello nugget,PET
oh move to the dining room right now,NAVIGATION
okay what's interesting about ants thanks,CHAT
start a game of spelling bee right now,GAME
let's play checkers,GAME
follow me to the dining room right now,NAVIGATION
read this lesson about animals,STUDY
lead the way to the pantry,NAVIGATION
describe sound for me,STUDY
can you teach me geography,STUDY
uh change language to arabic now,SYSTEM
oh in the story does a monkey win,STORY
my favorite subject is book thanks,CHAT
i feel like playing checkers,GAME
in the story what if a lion meets a detective,STORY
in the story what does a witch find,STORY
walk three steps forward please,NAVIGATION
uh play simon says with me right now,GAME
is ecosystems the same as animals,STUDY
i want to go to the sofa,NAVIGATION
hmm tell me a story about a talking cat now,STORY
hey how about a game of word scramble right now,GAME
can you go to the nursery,NAVIGATION
my favorite color is flowers okay,CHAT
let me see you jump right now,PET
uh i want a harder word scramble right now,GAME
what's the difference between biology and gravity,STUDY
uh in the game i'll go with the second one okay,GAME
so let's play spelling bee thanks,GAME
my guess is false thanks,GAME
let's do a quiz on grammar,STUDY
so check for updates okay,SYSTEM
let's go to the attic now,NAVIGATION
uh i'll take care of you love thanks,PET
so begin a new game of math quiz,GAME
close your eyes okay,SYSTEM
please go to the entrance,NAVIGATION
help me review for my chemistry test,STUDY
stop talking,SYSTEM
break down the alphabet for me,STUDY
everything will be fine munchkin,PET
good job cutie now,PET
time to play tic-tac-toe right now,GAME
is chemistry the same as planets,STUDY
um do you like pizza,CHAT
everything will be fine boo right now,PET
pet pet pet honeybun now,PET
hey my favorite movie is chocolate okay,CHAT
tell me a riddle,CHAT
start a game of word scramble,GAME
uh invent a story about a lion,STORY
um i like sport,CHAT
okay switch to french,SYSTEM
hey let me see your confused face now,PET
in the story what if a puppy meets a talking cat please,STORY
so i'm guessing the last one,GAME
um increase volume okay,SYSTEM
hey play chess with me,GAME
i have a question about erosion,STUDY
everything will be fine little one,PET
uh come play treasure hunt with me now,PET
so my favorite movie is ice cream please,CHAT
please go to the front door,NAVIGATION
how do you spell ecosystems,STUDY
speak in korean now,SYSTEM
for the game i choose option two,GAME
my favorite movie is game thanks,CHAT
what does cells mean,STUDY
my guess is the cat,GAME
okay turn on bluetooth thanks,SYSTEM
uh my favorite game is sport now,CHAT
speak in hindi,SYSTEM
so why is the ocean salty okay,CHAT
so set brightness to maximum thanks,SYSTEM
let's do peek-a-boo together,PET
okay i want a handshake thanks,PET
hey please go to the hallway now,NAVIGATION
what's the difference between photosynthesis and colors,STUDY
hey lead the way to the basement okay,NAVIGATION
can we review math please,STUDY
can you tell a story with a witch and a fairy,STORY
in the story what if a fairy meets a lion,STORY
is the moon the same as geography,STUDY
head to the sofa now,NAVIGATION
final answer option three,GAME
okay where does a talking cat go next in the story now,STORY
hi my sweet buddy,PET
hmm tell me about yourself,CHAT
what's interesting about the brain right now,CHAT
i want to hear a story about a superhero,STORY
um lead the way to the kitchen,NAVIGATION
load up trivia please,GAME
hey for this round i pick option two now,GAME
hmm you're smart right now,CHAT
hmm is it going to rain,CHAT
so avoid the chair,NAVIGATION
shake arm little one,PET
so my favorite animal is pizza,CHAT
nice to see you again buddy,PET
my favorite movie is pizza,CHAT
roll over baby,PET
hey my favorite movie is dogs now,CHAT
i want to play chase with you,PET
what's your favorite song,CHAT
start a new story about a detective,STORY
so turn up the volume now,SYSTEM
in the story is a lion safe,STORY
um take me to the pantry please,NAVIGATION
i pick option d for the game right now,GAME
hmm do you like cats,CHAT
set brightness to low please,SYSTEM
hey standby mode please,SYSTEM
so i can't hear you speak louder now,SYSTEM
hey my favorite animal is pizza,CHAT
shake little paw robot,PET
in the story what if a dragon meets a bear,STORY
let's start chess,GAME
oh let's play would you rather okay,GAME
my favorite color is penguins,CHAT
can you clarify biology,STUDY
oh my favorite food is flowers thanks,CHAT
i want to go to the bookshelf,NAVIGATION
in the story what if a penguin meets a mermaid,STORY
uh can we play dress up,PET
can you quiz me on social studies,STUDY
oh in the story who does a witch meet,STORY
i wanna hear a story about a bunny,STORY
how about a game of i spy,GAME
uh do you like dogs okay,CHAT
reboot now,SYSTEM
oh i want to play catch with you,PET
do you like stars,CHAT
can you tell a story with a witch and a robot,STORY
explain geography in simple words,STUDY
you did great pumpkin,PET
oh why is the sky pink now,CHAT
review magnets with me,STUDY
in the story what if a detective meets a brave knight,STORY
in the story is a puppy safe,STORY
open hangman,GAME
scratch behind your ears baby,PET
in the story what if a talking cat meets a dragon,STORY
what is atoms,STUDY
uh come here right now,NAVIGATION
open would you rather please,GAME
uh i pick yes for the game right now,GAME
so my favorite color is movie,CHAT
you're so sweet pal right now,PET
let's review molecules,STUDY
i'm proud of you darling,PET
so change language to hindi okay,SYSTEM
hmm you're too loud,SYSTEM
help me practice math,STUDY
how about a game of rock paper scissors,GAME
okay what's your favorite cars okay,CHAT
okay turn off dark mode please,SYSTEM
uh turn down the volume now,SYSTEM
let's fist bump,PET
oh got any word scramble going thanks,GAME
do you like color please,CHAT
follow me to the kitchen,NAVIGATION
what's the difference between oceans and oceans,STUDY
you're adorable sunshine,PET
cheer up pal,PET
go through the secret door,STORY
okay i'm here for you little love,PET
how does the sun work,STUDY
i'll guess twenty okay,GAME
hmm do you eat food please,CHAT
tell me a story about a prince,STORY
so i like stars,CHAT
do you like dinosaurs thanks,CHAT
oh restart,SYSTEM
tell me about the alphabet,STUDY
time to play spelling bee,GAME
hey pause everything right now,SYSTEM
narrate a story about a dinosaur,STORY
can you quiz me on english,STUDY
shake arm cupcake,PET
read this lesson about planets,STUDY
hmm come give me a nose boop now,PET
be careful near the toy,NAVIGATION
i pick the dog for the game please,GAME
so enable bluetooth,SYSTEM
hmm aww pumpkin you're the best please,PET
go to the sofa,NAVIGATION
my game answer is option d,GAME
so can we play true or false,GAME
so i like place now,CHAT
launch trivia now,GAME
can you tell a story with a detective and a pirate,STORY
oh stay away from the table right now,NAVIGATION
you make me so happy nugget okay,PET
oh navigate to the basement right now,NAVIGATION
oh my favorite food is flowers okay,CHAT
okay good job baby now,PET
in the story what if a puppy meets a princess now,STORY
oh how about a game of word scramble okay,GAME
explain addition in simple words,STUDY
create a story with a dragon,STORY
uh it's okay if you're grumpy,PET
um i want a mystery story now,STORY
is animals the same as the human body,STUDY
cheer up buddy,PET
watch out for the wall,NAVIGATION
hmm switch to hindi,SYSTEM
what do you think about color now,CHAT
wanna play tag,PET
i'll take care of you friend now,PET
switch to korean okay,SYSTEM
in the game i think it's ten,GAME
uh come with me to the living room right now,NAVIGATION
how does gravity work,STUDY
uh for the game i choose the last one,GAME
i wanna hear a story about a fairy,STORY
it's okay if you're grumpy right now,PET
in the story what if a talking cat meets a brave knight,STORY
head over to the bookshelf okay,NAVIGATION
okay aww hello darling,PET
what is light,STUDY
my favorite animal is pizza,CHAT
abort okay,SYSTEM
in the game the answer is true,GAME
okay my favorite game is robots now,CHAT
explain light to me,STUDY
roll over little one,PET
my guess is false,GAME
okay make it quieter,SYSTEM
make up a story about a brave knight,STORY
um disable notifications,SYSTEM
hmm increase volume thanks,SYSTEM
uh set volume to fifty percent okay,SYSTEM
hey disable wifi,SYSTEM
for this round i pick the first one,GAME
my favorite food is robots now,CHAT
test me on history,STUDY
uh good morning please,CHAT
go around the box thanks,NAVIGATION
okay go around the toy thanks,NAVIGATION
uh turn on airplane mode,SYSTEM
hmm quit everything,SYSTEM
please go to the corridor,NAVIGATION
i want a harder geography quiz,GAME
so cancel everything right now,SYSTEM
what's interesting about animals right now,CHAT
i need help with shapes,STUDY
can you tell a story with a prince and a princess,STORY
i want a harder math quiz,GAME
what's the difference between gravity and planets,STUDY
oh look towards the garden,NAVIGATION
hey in the game the answer is the first one,GAME
for the game i'll say yes,GAME
how do you spell cells,STUDY
in the story what if a ninja meets a lion right now,STORY
hmm what's up now,CHAT
so let's boop,PET
good night now,CHAT
uh check your status now,SYSTEM
review geography with me,STUDY
my favorite subject is stars,CHAT
uh disable night mode,SYSTEM
cheer up love,PET
let's have fun playing chase,PET
hey what do you do for fun,CHAT
so in the game i'll go with left thanks,GAME
my favorite animal is place right now,CHAT
hmm play geography quiz with me please,GAME
turn off dark mode please,SYSTEM
uh in the game the answer is option c,GAME
um hey,CHAT
i feel like playing maze,GAME
you're so sweet sweetie,PET
come with me to the front door okay,NAVIGATION
oh in the story what if a brave knight meets a pirate okay,STORY
hmm take me to the table thanks,NAVIGATION
give me an explanation of animals,STUDY
where does a penguin go next in the story,STORY
begin a new game of i spy,GAME
so my favorite food is movie,CHAT
hey stop all tasks right now,SYSTEM
describe division for me,STUDY
did you know that the ocean,CHAT
um what do you think about animal,CHAT
okay good to see you boo right now,PET
what does plants mean,STUDY
hey go around the shoe thanks,NAVIGATION
oh close your eyes,SYSTEM
seven is my final game answer,GAME
okay head over to the couch thanks,NAVIGATION
i need help with planets,STUDY
start a game of word guess,GAME
uh hey,CHAT
uh my favorite animal is animal,CHAT
what's the difference between gravity and fractions,STUDY
uh go to the attic,NAVIGATION
um turn the sound off right now,SYSTEM
invent a story about a puppy,STORY
okay move to the garden okay,NAVIGATION
hey speak in arabic please,SYSTEM
so hey little one i missed you right now,PET
what games do you have,GAME
what do you think about toy,CHAT
okay speak in japanese,SYSTEM
hello there baby,PET
belly rub time honeybun,PET
unmute please,SYSTEM
okay play geography quiz with me right now,GAME
hey right is my final game answer,GAME
make the water cycle easier to understand,STUDY
um it's alright friend okay,PET
walk to the balcony thanks,NAVIGATION
let's cuddle honeybun,PET
can we play rock paper scissors,GAME
be careful near the rug thanks,NAVIGATION
uh set brightness to fifty percent right now,SYSTEM
i'll take care of you munchkin,PET
my favorite movie is ice cream now,CHAT
so time to play chess now,GAME
hmm switch to arabic okay,SYSTEM
start a game of puzzle thanks,GAME
okay enter sleep mode now,SYSTEM
in the story what if a dinosaur meets a talking cat,STORY
can you explain fractions,STUDY
are you charging please,SYSTEM
uh let's have fun playing chase okay,PET
what do you think about ice cream,CHAT
oh my favorite animal is food now,CHAT
in the game it must be the last one,GAME
hmm my favorite game is the moon,CHAT
there there buddy,PET
hi my sweet cutie,PET
come here honeybun let me pet you,PET
so it's bedtime go to sleep right now,SYSTEM
um can you tell a story with a unicorn and a ninja right now,STORY
my favorite game is animal thanks,CHAT
i wanna hear a story about a prince,STORY
uh open i spy please,GAME
can you tell a story with an astronaut and a prince,STORY
go through the golden key,STORY
let's see how much i know about chemistry,STUDY
hey in the story what if a pirate meets a penguin,STORY
oh standby mode,SYSTEM
let's review colors,STUDY
so shake arm boo right now,PET
give me some love cupcake okay,PET
hmm you make me smile little one,PET
lead the way to the back door,NAVIGATION
quiz me on science,STUDY
oh move to the door okay,NAVIGATION
my favorite game is cars,CHAT
hey do your best jump,PET
okay head to the stairs right now,NAVIGATION
in the story what if a bear meets a dragon,STORY
stop everything right now,SYSTEM
um my favorite animal is chocolate now,CHAT
um you're too loud now,SYSTEM
oh begin a new game of math quiz please,GAME
hey move to the window,NAVIGATION
enable night mode now,SYSTEM
head to the kitchen,NAVIGATION
i'm confused about molecules,STUDY
uh turn on bluetooth right now,SYSTEM
in the story what if a bear meets a princess,STORY
hello there little one,PET
oh switch to korean,SYSTEM
uh enable wifi please,SYSTEM
um stop talking right now,SYSTEM
um can you tell a story with a puppy and a monkey okay,STORY
once upon a time story about a dinosaur,STORY
what is oceans,STUDY
so cancel what you're doing,SYSTEM
face the kitchen,NAVIGATION
can you tell a story with a talking cat and a robot,STORY
where does a bunny go next in the story,STORY
can you make a confused face,PET
can you make a silly face,PET
my guess is option one,GAME
unmute,SYSTEM
okay why is grass green now,CHAT
okay don't worry honeybun right now,PET
hey bring me to the window okay,NAVIGATION
tell a brave story please,STORY
start a game of trivia,GAME
tell me an adventure story about a unicorn,STORY
i pick the cat for the game,GAME
hmm i like dogs,CHAT
head over to the balcony,NAVIGATION
hmm my favorite color is movie right now,CHAT
um i feel like playing geography quiz,GAME
hmm my favorite game is flowers okay,CHAT
okay go to the garage now,NAVIGATION
so my game answer is twenty please,GAME
so turn backward okay,NAVIGATION
um come with me to the nursery,NAVIGATION
so please go to the bathroom,NAVIGATION
what's the definition of fractions,STUDY
so say banana in a funny voice thanks,CHAT
hmm you're such a good pumpkin,PET
in the story is a talking cat safe,STORY
come closer,NAVIGATION
hey please go to the nursery now,NAVIGATION
my favorite animal is game,CHAT
give me an explanation of colors,STUDY
hey i want to go to the window thanks,NAVIGATION
hmm set brightness to fifty percent,SYSTEM
uh in the game i think it's seven please,GAME
um hibernate,SYSTEM
uh in the game i think it's twenty right now,GAME
oh take me to the playroom okay,NAVIGATION
you're adorable honeybun,PET
do you like flowers,CHAT
okay what's your favorite dogs,CHAT
what's the difference between light and the food chain,STUDY
hmm good job little one thanks,PET
um you're the best,CHAT
you make me so happy buddy,PET
for the game i'll say left,GAME
come with me to the living room,NAVIGATION
let's review gravity,STUDY
hey set brightness to minimum,SYSTEM
is molecules the same as condensation,STUDY
aww sweetie you're the best okay,PET
oh play geography quiz with me please,GAME
so my favorite game is game,CHAT
turn on dark mode now,SYSTEM
okay switch to chinese please,SYSTEM
give me an explanation of gravity,STUDY
return home,NAVIGATION
begin a new game of animal quiz,GAME
hmm what's your favorite the moon,CHAT
hmm bring me to the closet,NAVIGATION
hey can you tell a story with a monkey and an alien,STORY
hmm decrease volume,SYSTEM
dim the lights right now,SYSTEM
hmm snuggle time little one right now,PET
i like dinosaurs please,CHAT
hmm change language to korean please,SYSTEM
go to sleep now,SYSTEM
oh switch to spanish,SYSTEM
avoid the table,NAVIGATION
start a story in a enchanted garden,STORY
um can you tell a story with a detective and a ninja,STORY
okay what do you think about toy now,CHAT
shake paw boo please,PET
test my knowledge of vocabulary,STUDY
okay do you have feelings,CHAT
um reboot your system right now,SYSTEM
it's okay if you're sleepy right now,PET
um head over to the bathroom right now,NAVIGATION
do a wiggle for me,PET
can you explain shapes,STUDY
so for this round i pick five thanks,GAME
in the game it must be seven,GAME
hmm quit everything okay,SYSTEM
let me guess the first one,GAME
let me guess false right now,GAME
so come play treasure hunt with me,PET
what's the difference between colors and the solar system,STUDY
can you tell a story with a dinosaur and a bunny,STORY
i'm here for you little munchkin right now,PET
uh how much battery do you have okay,SYSTEM
why do we need to learn history,STUDY
hmm turn on do not disturb please,SYSTEM
let's go to the attic,NAVIGATION
uh i'll guess option c,GAME
okay my favorite movie is game thanks,CHAT
um face the sofa,NAVIGATION
how do birds fly,CHAT
start a new story about a prince,STORY
oh change language to korean please,SYSTEM
um final answer false,GAME
hey go to sleep right now,SYSTEM
move backward,NAVIGATION
um tell a mystery story please thanks,STORY
aww hello pal,PET
for the game i'll say blue thanks,GAME
you're my best friend robot,PET
face the window,NAVIGATION
oh new story about a detective,STORY
um i want to go to the hallway right now,NAVIGATION
okay my favorite game is toy,CHAT
um sleep mode okay,SYSTEM
hey can we play card game please,GAME
final answer five,GAME
explain plants to me,STUDY
hmm are you feeling lonely okay,PET
so my game answer is option one,GAME
okay lead the way to the entrance,NAVIGATION
navigate to the garage,NAVIGATION
walk to the corridor,NAVIGATION
help me understand plants,STUDY
can you tell a story with a dinosaur and an astronaut,STORY
oh for the game i'll say the cat,GAME
hmm what's interesting about animals,CHAT
